period,link_id,from_node_id,to_node_id,road,direction,street_name,target_origin,target_position_mi,network_length_mi,lanes,capacity,free_speed,link_type,allowed_use,period_volume,primary_mapped_tmc,mapped_tmc_count,primary_map_status,primary_map_confidence,primary_map_distance_to_tmc_ft,bridge_from_tmc,bridge_to_tmc,bridge_path_miles,t2_hour,assignment_status,assignment_tier,assignment_method,assignment_confidence,selected_tmc,left_anchor_tmc,right_anchor_tmc,left_anchor_distance_mi,right_anchor_distance_mi,anchor_gap_mi,propagation_minutes_per_mile,propagation_anchor_count,profile_detection_succeeded,profile_minimum_ratio,profile_coverage,linear_t2_candidate,profile_t2_candidate,t2_source_method,episode_id,source_screened_accepted,daily_probe_day_count,daily_probe_t2_std_hour,selected_map_status,selected_map_confidence,selected_map_distance_to_tmc_ft
MD,38103,38763,38757,VA-7,WESTBOUND,VA 7 - Harry Byrd Highway,mapped_route_link,44.512777265060244,0.05,2.0,2000.0,120.7005,601.0,sov;hov2;hov3;trk;apv;com,3535.39185,110-04249,1,matched,72.41,1196.4,,,,,unassigned,,,,,,,,,,,0,False,,,,,,,,,,,,
MD,38104,38764,38359,VA-7,WESTBOUND,VA 7 - Harry Byrd Highway,mapped_route_link,45.47382659036145,1.74,2.0,2000.0,120.7005,601.0,sov;hov2;hov3;trk;apv;com,3535.39185,110-04249,1,matched,72.41,130.75,,,,,unassigned,,,,,,,,,,,0,False,,,,,,,,,,,,
MD,38105,38764,38757,VA-7,EASTBOUND,VA 7 - Harry Byrd Highway,mapped_route_link,6.5656394337349395,0.04,2.0,2000.0,120.7005,601.0,sov;hov2;hov3;trk;apv;com,4344.3418,110+04250,1,matched,72.11,1273.58,,,,,unassigned,,,,,,,,,,,0,False,,,,,,,,,,,,
MD,38135,38777,38731,VA-607,NORTHBOUND,VA 607 LOUDOUN COUNTY PARKWAY,mapped_route_link,0.26848236708860757,0.58,2.0,900.0,74.02964,503.0,sov;hov2;hov3;trk;apv;com,4390.68701,110+58070,1,review_od_distance,61.55,600.22,,,,,unassigned,,,,,,,,,,,0,False,,,,,,,,,,,,
MD,38138,38779,38067,VA-625,WESTBOUND,VA 625 - Waxpool Road,mapped_route_link,3.330708043103448,0.33,3.0,600.0,56.3269,304.0,sov;hov2;hov3;trk;apv;com,4152.93799,110-58056,1,matched,84.56,171.27,,,,,unassigned,,,,,,,,,,,0,False,,,,,,,,,,,,
MD,38139,38779,38160,VA-625,EASTBOUND,VA 625 - Waxpool Road,mapped_route_link,3.4775959999999997,0.2,3.0,600.0,56.3269,304.0,sov;hov2;hov3;trk;apv;com,5379.02002,110P58057,2,review_length,17.9,7.43,,,,,unassigned,,,,,,,,,,,0,False,,,,,,,,,,,,
MD,38140,38780,38160,VA-607,NORTHBOUND,VA 607 - Loudoun County Parkway,mapped_route_link,6.018051877717391,0.33,3.0,600.0,56.3269,304.0,sov;hov2;hov3;trk;apv;com,6853.63135,110+58074,1,matched,57.95,0.0,,,,,unassigned,,,,,,,,,,,0,False,,,,,,,,,,,,
MD,38141,38780,38525,VA-607,SOUTHBOUND,VA 607 - Loudoun County Parkway,mapped_route_link,4.0870814782608695,0.25,3.0,600.0,56.3269,304.0,sov;hov2;hov3;trk;apv;com,7036.78271,110-58073,1,matched,58.92,105.34,,,,,unassigned,,,,,,,,,,,0,False,,,,,,,,,,,,
MD,38145,40001,36435,VA-123,NORTHBOUND,VA 123 - Ox Road,mapped_route_link,2.0401903299492385,0.68,3.0,1100.0,93.34172,502.0,sov;hov2;hov3;trk;apv;com,12399.50586,110-10034,1,matched,66.78,83.78,,,,10.75,assigned,A_direct,direct_mapped_tmc,medium,110-10034,110-10034,110-10034,0.0,0.0,0.0,0.0,,False,,,,,daily_probe_mean,daily_probe_mean__110-10034__MD,False,2,1.5,matched,66.78,83.78
MD,38146,40001,40038,VA-123,SOUTHBOUND,VA 123,mapped_route_link,27.408614416243655,0.12,3.0,1100.0,93.34172,502.0,sov;hov2;hov3;trk;apv;com,12024.82617,110+10035,1,matched,68.01,909.46,,,,12.0,assigned,A_direct,direct_mapped_tmc,high,110+10035,110+10035,110+10035,0.0,0.0,0.0,0.0,,False,,,,,daily_probe_mean,daily_probe_mean__110+10035__MD,False,8,0.6123724356957945,matched,68.01,909.46
