episode_id,sensor_uid,tmc_code,corridor,link_id,date,period,t0_hour,t2_hour,t3_hour,P_hr,duration_min,threshold_used,min_speed_mph,mean_speed_mph,episode_demand,demand_capacity_ratio,magnitude,road_order,direction,is_clean_valid_episode,corridor_output,tmc,t2_source_method,daily_probe_day_count,daily_probe_t2_min_hour,daily_probe_t2_max_hour,daily_probe_t2_std_hour,screened_acceptance_share,anchor_t2_hour,anchor_source_method,anchor_episode_id,anchor_daily_probe_day_count,anchor_daily_t2_std_hour,anchor_source_reliable
daily_probe_mean__110+04130__AM,,110+04130,I395_NB,,DailyMean,AM,6.416666666666667,8.083333333333334,11.38888888888889,5.222222222222222,,,8.544444444444444,,,,,21.0,NORTHBOUND,False,I395_NB,110+04130,daily_probe_mean,9,6.5,8.75,0.67700320038633,0.8888888888888888,8.0,daily_probe_mean,daily_probe_mean__110+04130__AM,8.0,0.673145600891813,True
daily_probe_mean__110+04130__MD,,110+04130,I395_NB,,DailyMean,MD,7.4375,10.71875,17.34375,10.125,,,9.9075,,,,,21.0,NORTHBOUND,False,I395_NB,110+04130,daily_probe_mean,8,9.0,14.25,1.8304605807009338,0.125,9.25,daily_probe_mean,daily_probe_mean__110+04130__MD,2.0,0.25,False
state_transition__I395_NB::110+04130__Weekday__0014,I395_NB::110+04130,110+04130,I395_NB,10.0,Weekday,PM,6.0,17.25,20.5,14.75,885.0,36.7934,9.152608695652171,21.991159768013866,21905.121155367546,11.52901113440397,3.019990499263693,21.0,NORTHBOUND,False,I395_NB,110+04130,average_weekday,0,,,,0.0,16.85,daily_probe_mean,daily_probe_mean__110+04130__PM,10.0,0.9367496997597599,True
daily_probe_mean__110+04147__AM,,110+04147,I95_NB,,DailyMean,AM,6.25,6.75,8.0,2.0,,,8.59,,,,,653.0,NORTHBOUND,False,I95_NB,110+04147,daily_probe_mean,1,6.75,6.75,0.0,0.0,,,,,,False
daily_probe_mean__110+04147__MD,,110+04147,I95_NB,,DailyMean,MD,12.125,14.0,18.0,6.125,,,13.2,,,,,653.0,NORTHBOUND,True,I95_NB,110+04147,daily_probe_mean,2,13.75,14.25,0.25,1.0,14.0,daily_probe_mean,daily_probe_mean__110+04147__MD,2.0,0.25,False
state_transition__I95_NB::110+04147__Weekday__0001,I95_NB::110+04147,110+04147,I95_NB,13.0,Weekday,PM,14.75,16.25,17.25,2.75,165.0,50.20399999999999,44.77391304347826,46.97755210204814,4733.152685271499,2.3665763426357493,0.1212779180423382,653.0,NORTHBOUND,True,I95_NB,110+04147,average_weekday,0,,,,1.0,16.25,average_weekday,state_transition__I95_NB::110+04147__Weekday__0001,0.0,,True
daily_probe_mean__110+04148__AM,,110+04148,I95_NB,,DailyMean,AM,7.125,7.875,9.0,2.125,,,25.18,,,,,655.0,NORTHBOUND,False,I95_NB,110+04148,daily_probe_mean,2,7.25,8.5,0.625,0.5,7.25,daily_probe_mean,daily_probe_mean__110+04148__AM,1.0,0.0,False
daily_probe_mean__110+04148__MD,,110+04148,I95_NB,,DailyMean,MD,11.125,12.6875,14.5625,3.6875,,,29.325,,,,,655.0,NORTHBOUND,False,I95_NB,110+04148,daily_probe_mean,4,11.75,14.5,1.0807260291119114,0.5,13.5,daily_probe_mean,daily_probe_mean__110+04148__MD,2.0,1.0,False
state_transition__I95_NB::110+04148__Weekday__0002,I95_NB::110+04148,110+04148,I95_NB,12.0,Weekday,PM,15.25,16.25,17.75,2.75,165.0,49.861,46.20886363636364,48.38315876152833,5106.108426023863,2.553054213011932,0.0790354074139652,655.0,NORTHBOUND,False,I95_NB,110+04148,average_weekday,0,,,,0.0,16.0,daily_probe_mean,daily_probe_mean__110+04148__PM,12.0,0.6123724356957945,True
daily_probe_mean__110+04149__AM,,110+04149,I95_NB,,DailyMean,AM,7.333333333333333,7.75,9.083333333333334,2.0,,,29.69333333333334,,,,,657.0,NORTHBOUND,False,I95_NB,110+04149,daily_probe_mean,3,7.75,7.75,0.0,0.6666666666666666,7.75,daily_probe_mean,daily_probe_mean__110+04149__AM,2.0,0.0,False
daily_probe_mean__110+04149__MD,,110+04149,I95_NB,,DailyMean,MD,11.0,12.333333333333334,13.791666666666666,3.0416666666666665,,,30.826666666666668,,,,,657.0,NORTHBOUND,False,I95_NB,110+04149,daily_probe_mean,6,9.75,14.5,1.668748699541732,0.3333333333333333,12.875,daily_probe_mean,daily_probe_mean__110+04149__MD,2.0,0.125,False
daily_probe_mean__110+04149__PM,,110+04149,I95_NB,,DailyMean,PM,15.25,17.178571428571427,18.321428571428573,3.3214285714285716,,,32.121428571428574,,,,,657.0,NORTHBOUND,False,I95_NB,110+04149,daily_probe_mean,7,16.25,18.0,0.5933302759227196,0.5714285714285714,17.0,daily_probe_mean,daily_probe_mean__110+04149__PM,4.0,0.6846531968814576,True
daily_probe_mean__110+04150__AM,,110+04150,I95_NB,,DailyMean,AM,6.541666666666667,7.333333333333333,8.333333333333334,2.0416666666666665,,,24.661666666666665,,,,,659.0,NORTHBOUND,False,I95_NB,110+04150,daily_probe_mean,6,6.0,8.75,0.8498365855987974,0.3333333333333333,8.125,daily_probe_mean,daily_probe_mean__110+04150__AM,2.0,0.625,False
daily_probe_mean__110+04150__MD,,110+04150,I95_NB,,DailyMean,MD,10.666666666666666,12.0,14.25,3.8333333333333335,,,11.963333333333333,,,,,659.0,NORTHBOUND,False,I95_NB,110+04150,daily_probe_mean,3,9.5,13.75,1.8142950880897701,0.3333333333333333,13.375,daily_probe_mean,daily_probe_mean__110+04150__MD,2.0,0.625,False
state_transition__I95_NB::110+04150__Weekday__0003,I95_NB::110+04150,110+04150,I95_NB,10.0,Weekday,PM,14.75,16.5,17.75,3.25,195.0,49.26599999999999,45.73136363636364,47.36981909394953,4663.0734819696745,2.3315367409848373,0.0772912960073151,659.0,NORTHBOUND,True,I95_NB,110+04150,average_weekday,0,,,,1.0,16.5,average_weekday,state_transition__I95_NB::110+04150__Weekday__0003,0.0,,True
state_transition__I95_NB::110+04151__Weekday__0004,I95_NB::110+04151,110+04151,I95_NB,9.0,Weekday,AM,5.25,6.5,7.75,2.75,165.0,48.55935,29.62826086956522,39.10597826086956,4394.339231183874,2.3128101216757235,0.6389537750385206,661.0,NORTHBOUND,True,I95_NB,110+04151,average_weekday,0,,,,1.0,6.5,average_weekday,state_transition__I95_NB::110+04151__Weekday__0004,0.0,,True
daily_probe_mean__110+04151__MD,,110+04151,I95_NB,,DailyMean,MD,11.571428571428571,13.0,15.214285714285714,3.892857142857143,,,27.327142857142857,,,,,661.0,NORTHBOUND,False,I95_NB,110+04151,daily_probe_mean,7,9.5,14.75,1.7627089541790095,0.2857142857142857,12.0,daily_probe_mean,daily_probe_mean__110+04151__MD,2.0,2.5,False
state_transition__I95_NB::110+04151__Weekday__0005,I95_NB::110+04151,110+04151,I95_NB,9.0,Weekday,PM,13.5,16.75,18.5,5.25,315.0,48.55935,38.49045454545455,43.47972078818353,8116.918410336923,4.27206232122996,0.2615946102339423,661.0,NORTHBOUND,True,I95_NB,110+04151,average_weekday,0,,,,1.0,16.75,average_weekday,state_transition__I95_NB::110+04151__Weekday__0005,0.0,,True
state_transition__I95_NB::110+04152__Weekday__0006,I95_NB::110+04152,110+04152,I95_NB,8.0,Weekday,AM,5.25,6.5,9.5,4.5,270.0,48.51,37.144090909090906,42.12749724993203,8471.301805334944,4.235650902667472,0.3059950805829876,663.0,NORTHBOUND,True,I95_NB,110+04152,average_weekday,0,,,,1.0,6.5,average_weekday,state_transition__I95_NB::110+04152__Weekday__0006,0.0,,True
state_transition__I95_NB::110+04152__Weekday__0007,I95_NB::110+04152,110+04152,I95_NB,8.0,Weekday,MD,12.25,14.75,18.75,6.75,405.0,48.51,40.04022727272727,44.88365283267457,12083.538460071431,6.041769230035717,0.2115315847131009,663.0,NORTHBOUND,True,I95_NB,110+04152,average_weekday,0,,,,1.0,14.75,average_weekday,state_transition__I95_NB::110+04152__Weekday__0007,0.0,,True
daily_probe_mean__110+04152__PM,,110+04152,I95_NB,,DailyMean,PM,12.125,16.484375,19.34375,7.46875,,,28.871875,,,,,663.0,NORTHBOUND,False,I95_NB,110+04152,daily_probe_mean,16,15.0,18.5,0.9861095828431037,0.5625,16.27777777777778,daily_probe_mean,daily_probe_mean__110+04152__PM,9.0,0.9891385452647142,True
daily_probe_mean__110+04153__AM,,110+04153,I95_NB,,DailyMean,AM,6.9375,7.5625,8.53125,1.84375,,,28.1725,,,,,665.0,NORTHBOUND,False,I95_NB,110+04153,daily_probe_mean,8,6.75,8.25,0.5266343608235224,0.375,7.333333333333333,daily_probe_mean,daily_probe_mean__110+04153__AM,3.0,0.6561673228343176,True
